Feature,Importance
playlist_entries,0.5659374525691975
stability_score,0.3908567871020566
rank_volatility,0.01989182540409378
rank_range,0.009021539325798113
avg_daily_rank_change,0.008060087116018627
worst_rank,0.002189700758564386
days_to_peak,0.0015674500072097217
avg_rank,0.000955559440737179
rank_improvement,0.0006675209374523446
avg_popularity,0.0003743794246831473
popularity_gap,0.00025420146162043325
peak_popularity,0.00011007872798474704
initial_rank,6.790026192178394e-05
best_rank,4.55174626616883e-05
