song_id,entry_date,exit_date,days_on_playlist,best_rank,worst_rank,avg_rank,peak_popularity,avg_popularity
no te quieren conmigo - remix_gaby music & anuel aa & luar la l,2025-04-07,2025-04-27,21,17,47,34.857142857142854,77,73.28571428571429
no te quieren conmigo_gaby music & lunay & luar la l,2024-12-20,2025-04-10,112,4,50,11.854545454545455,89,84.74545454545455
no_se_ve.mp3_emilia,2024-11-04,2025-02-09,98,32,50,43.76,77,72.84
no_se_ve.mp3_emilia & ludmilla & zecca,2024-06-08,2024-11-03,149,13,49,22.26865671641791,89,86.90298507462687
nochentera_vicco,2024-05-18,2025-01-09,237,9,50,20.775641025641026,83,80.55128205128206
noemú_quevedo,2025-11-24,2025-11-27,4,15,26,22.5,67,64.25
nueva era_duki,2025-11-03,2025-11-27,25,3,32,10.32,83,78.76
número telefónico_saiko,2025-04-28,2025-05-09,12,14,49,31.666666666666668,72,68.91666666666667
oa_anuel aa & quevedo & maluma,2024-10-16,2025-04-27,194,3,47,21.124352331606218,88,85.09844559585493
obvio_myke towers,2024-11-25,2024-11-25,1,25,25,25.0,0,0.0
offline_young miko,2025-04-07,2025-06-15,70,16,49,34.73913043478261,88,84.21739130434783
ohnana_kapo,2025-07-04,2025-11-27,147,2,40,8.889655172413793,89,85.48275862068965
omega (feat. ralphie choo)_rosalía,2025-09-27,2025-10-10,14,3,49,25.285714285714285,73,70.5
orgullosa de papá_cano,2025-11-01,2025-11-23,23,45,50,47.166666666666664,59,55.0
otra noche (feat. darell)_myke towers,2025-08-24,2025-11-16,85,11,41,22.976470588235294,73,68.91764705882353
otra noche_myke towers & darell,2025-08-20,2025-08-23,4,36,41,39.25,69,66.5
otra oportunidad_myke towers,2025-08-24,2025-08-24,1,25,25,25.0,0,0.0
otro round_myke towers,2024-11-25,2024-11-25,1,50,50,50.0,0,0.0
oye bb_omar montes & nicky jam,2024-11-11,2024-11-11,1,43,43,43.0,25,25.0
pa' la vuelta_eladio carrion & morad,2024-08-06,2024-08-06,1,49,49,49.0,62,62.0
pacto (feat. bryant myers & dei v) - remix_jay wheeler & anuel aa & hades66,2024-07-29,2024-10-06,70,20,50,37.06060606060606,84,80.43939393939394
pacto (feat. luar la l)_jay wheeler,2024-06-01,2024-07-01,31,38,49,43.774193548387096,72,70.61290322580645
pasajero_mora,2024-08-30,2024-10-13,45,4,49,27.77777777777778,83,80.02222222222223
pasaporte_rauw alejandro,2025-11-17,2025-11-17,1,43,43,43.0,64,64.0
pasaporte_rauw alejandro & mr. naisgai,2025-09-29,2025-09-29,1,49,49,49.0,63,63.0
pasiempre_tainy,2024-07-02,2024-07-20,19,21,50,34.0,87,83.36842105263158
passoa_jhayco,2025-09-08,2025-09-27,20,27,48,34.4,70,66.0
passoa_jhayco & kapo,2025-08-17,2025-09-07,22,19,49,35.15,79,76.5
paz_morad,2024-05-18,2024-05-20,3,44,47,46.0,66,64.66666666666667
pedro_jaxomy & agatino romero & raffaella carrà,2025-04-14,2025-05-21,38,14,50,33.628571428571426,92,87.65714285714286
peligrosa_floyymenor,2025-07-31,2025-11-27,120,3,49,13.588235294117647,84,79.0
penas de antaño_bizarrap & milo j,2024-10-09,2024-10-12,4,44,50,46.5,78,76.5
perdió este culo_bad gyal,2025-01-28,2025-02-24,28,18,47,37.142857142857146,78,74.07142857142857
perreo lento_chris jedi & gaby music & dei v,2025-03-01,2025-03-29,29,28,49,36.407407407407405,75,74.62962962962963
perro negro_bad bunny,2024-10-14,2025-05-31,230,2,40,11.408163265306122,97,94.15816326530613
perros&gata$_nicki nicole & saiko,2025-07-04,2025-07-07,4,45,50,46.5,68,66.5
"peso pluma: bzrp music sessions, vol. 55_bizarrap & peso pluma",2024-06-03,2024-07-01,29,2,47,18.20689655172414,98,94.44827586206897
pide_mora,2024-08-30,2024-09-02,4,15,46,34.25,75,54.5
piribiri_jc reyes & pedro calderon,2024-08-09,2024-09-29,52,37,50,45.21951219512195,75,74.1951219512195
playa del inglés_quevedo,2024-05-18,2024-12-12,209,15,50,24.31446540880503,85,82.72955974842768
please please please_sabrina carpenter,2025-06-12,2025-06-20,9,33,44,39.333333333333336,91,87.0
polaris - remix_saiko,2025-04-28,2025-05-09,12,31,50,40.833333333333336,66,61.916666666666664
polaris - remix_saiko & feid & quevedo,2024-06-11,2025-04-20,314,1,44,17.102564102564102,90,84.77564102564102
polaris_saiko,2024-05-18,2024-06-11,25,22,46,36.16,78,77.68
por atrás_quevedo,2025-11-24,2025-11-27,4,11,19,16.75,68,65.5
potra salvaje - hard remix_isabel aaiún & fernando moreno,2025-05-29,2025-09-24,119,3,48,13.991228070175438,80,74.50877192982456
potra salvaje_isabel aaiún,2025-07-07,2025-08-28,53,14,49,35.26,67,64.7
privilegios_feid,2024-09-30,2024-10-01,2,46,46,46.0,0,0.0
probemas mentales_jzaeb & eix,2025-03-07,2025-03-07,1,48,48,48.0,55,55.0
problemas mentales_jzaeb & eix,2025-03-20,2025-03-22,3,22,23,22.5,68,67.5
provenza_karol g,2025-07-25,2025-07-30,6,45,50,47.333333333333336,83,82.16666666666667
"ptazeta: bzrp music sessions, vol. 45_paul thin & ruslana",2025-01-18,2025-01-19,2,42,50,46.0,59,57.0
punto g_quevedo,2024-05-18,2025-01-13,241,23,50,40.611111111111114,87,85.33333333333333
pólvora_mora,2024-08-30,2024-09-09,11,8,49,32.45454545454545,81,71.0
q u e v a s h a c e r h o y ?_omar courtz,2025-09-25,2025-11-27,64,1,39,4.515625,89,85.875
qlona_karol g,2024-08-19,2025-10-19,427,8,50,26.472303206997086,94,90.00583090379008
que asco de todo_quevedo,2025-11-24,2025-11-27,4,19,35,28.75,66,63.5
que me lleve el aire_luis cortés,2025-10-10,2025-10-17,8,42,50,46.375,67,67.0
que te vaya bien_rvfv,2024-05-18,2024-06-07,21,26,46,37.904761904761905,77,77.0
quevedo #49 after hour the mixtape_dj saot st,2024-06-04,2024-06-04,1,48,48,48.0,20,20.0
"quevedo: bzrp music sessions, vol. 52_bizarrap & quevedo",2024-05-18,2025-01-03,231,27,48,36.090225563909776,94,92.06766917293233
quickie_dei v,2025-11-19,2025-11-25,7,31,50,42.42857142857143,68,66.57142857142857
