,MAE,RMSE,R²
Linear Regression,12.284162630116294,37.59921012569163,0.895368531757012
Decision Tree,17.843478260869563,53.90877963503839,0.78490818822105
Random Forest,11.75313043478261,39.20733931959346,0.8862268927483643
Gradient Boosting,10.116160185841233,33.51905322368166,0.9168450009708995
