days_on_playlist
4
13
2
198
1
109
39
1
85
1
112
3
4
282
112
26
22
111
12
7
231
4
29
4
1
7
4
53
16
2
85
22
29
46
7
11
37
5
85
15
135
1
2
15
103
165
38
35
16
6
6
1
29
170
159
3
140
7
91
14
118
21
1
46
1
127
29
8
1
2
23
160
120
8
32
85
84
1
103
108
127
10
5
21
21
83
83
61
7
74
2
1
45
2
210
8
68
1
4
1
52
1
66
101
7
41
49
117
6
4
4
31
7
70
7
1
6
1
96
2
4
33
3
24
149
179
361
427
232
8
108
1
19
20
4
2
14
7
15
28
2
22
210
14
18
16
3
23
27
408
30
4
6
245
4
5
8
17
7
6
38
20
5
6
82
170
1
105
2
8
1
1
231
25
2
5
1
35
5
5
8
149
112
86
9
11
38
83
1
3
25
21
4
7
16
35
1
74
4
1
1
5
104
4
69
1
7
1
12
1
3
1
241
371
251
49
7
27
4
118
10
483
47
1
453
38
116
25
20
124
1
204
21
1
16
39
14
8
12
91
361
1
147
6
1
14
9
14
83
164
6
82
74
64
1
145
1
85
1
314
7
12
172
4
1
4
70
10
198
66
2
49
14
28
7
1
4
98
70
1
16
3
1
4
129
1
107
3
8
3
4
8
1
285
103
5
60
7
221
43
95
19
11
10
1
187
4
39
4
1
17
129
7
13
49
36
3
130
13
3
1
169
69
201
1
2
1
1
3
46
4
151
156
4
85
1
6
448
2
15
238
8
4
167
142
28
28
136
25
4
5
2
115
4
161
110
11
237
1
4
4
1
1
1
30
11
226
16
15
2
4
3
4
1
153
122
1
7
4
25
41
73
4
164
1
140
104
8
36
2
10
100
6
1
1
6
2
115
364
22
1
22
123
19
4
1
18
1
1
76
1
11
17
4
198
3
29
3
41
104
23
37
149
9
104
42
351
3
163
2
16
13
22
13
35
12
8
184
1
5
147
209
1
24
80
2
1
7
24
4
206
66
51
139
118
7
2
41
7
2
